company_brand,sector,stage,amount,headquarter,about_company,year,founded,founders,investor,Category
Clensta,biotechnology health care wellness,Seed,0.0,New Delhi,A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.,2018,2017,Unknown,Undisclosed,technology
Jetbrain Robotics,health care hospital medical robotics,Seed,70000.0,Gurgaon,"Jetbrain Robotics is Hong Kong / Gurgaon based company, building advanced robotic transportation solutions for multi speciality hospitals.",2018,2017,Unknown,Undisclosed,technology
Medimetry,health & wellness,Seed,0.0,Haryana,"MediMetry is an online platform where patients can consult specialists doctors online - from anywhere, at anytime.",2018,2017,Unknown,Undisclosed,healthcare
Healthkart,ecommerce fitness health care,Venture,10000000.0,Gurgaon,"The one stop shop for health, fitness & beauty.",2018,2017,Unknown,Undisclosed,technology
Indiabulls Ventures,financial services venture capital,Post-IPO,224723200.0,Mumbai,Indiabulls Ventures Limited is one of India’s leading capital market companies providing securities and derivative broking services.,2018,2017,Unknown,Undisclosed,technology
Vistara,aerospace,PE,292000000.0,Haryana,Vistara is a joint venture of Tata Sons Limited and Singapore Airlines Limited (SIA),2018,2017,Unknown,Undisclosed,mobility and transportation
ClearTax,accounting apps fintech,Series B,58400000.0,New Delhi,ClearTax India helps individuals prepare and e-file their Income Tax Return online.,2018,2017,Unknown,Undisclosed,technology
Shuttl,apps mobile transportation,Debt,1000000.0,Gurgaon,"Shuttl provides an app-based office shuttle service to make daily commute safe, reliable, affordable and dignified for everyone.",2018,2017,Unknown,Undisclosed,technology
GuruQ,reading apps,Seed,365000.0,New Delhi,A one of its kind digital integrated platform connecting tutors and students.,2018,2017,Unknown,Undisclosed,technology and innovation
Azure Power,energy renewable energy solar,Post-IPO,185000000.0,New Delhi,"Azure Power produces and distributes solar power to commercial, government, and utility customers in India.",2018,2017,Unknown,Undisclosed,technology
Cube,banking financial services fintech,Series A,2044000.0,Mumbai,Cube is consumer banking focused fintech company.,2018,2017,Unknown,Undisclosed,technology
RAHI Care,health care hospital,Venture,0.0,Chandigarh,RAHI Care is a Health Care company.,2018,2017,Unknown,Undisclosed,technology
Mynvax,biotechnology,Pre-Seed,0.0,Bangalore,Mynvax is a biotech Company.,2018,2017,Unknown,Undisclosed,technology
Loans4SME,financial services,Seed,0.0,Mumbai,Loans4SME is an alternative lending platform.,2018,2017,Unknown,Undisclosed,fintech
UpCyclersLab,apps education retail,Seed,0.0,Mumbai,UpCyclersLab is a startup that makes sustainability-based learning tools for children above the age of five.,2018,2017,Unknown,Undisclosed,technology
Cellerite Systems,electric vehicle,Seed,0.0,Hyderabad,Cellerite Systems is a charging solutions provider for electric vehicles.,2018,2017,Unknown,Undisclosed,mobility and transportation
Taru Naturals,agriculture farming,Seed,0.0,Mumbai,Taru Naturals is a network that connects farmer communities with clean technology and renewable energy.,2018,2017,Unknown,Undisclosed,technology
LetsMD,fitness health care wellness,Seed,1000000.0,New Delhi,LetsMD.com is a marketplace for elective surgeries,2018,2017,Unknown,Undisclosed,technology
Twenty Two Motors,automotive battery electric vehicle manufacturing mechanical design,Other,65000000.0,Haryana,Twenty Two Motors aim of making cutting edge EV technology affordable for the current generation.,2018,2017,Unknown,Undisclosed,mobility and transportation
Truebil,automotive ecommerce marketplace,Series A,2000000.0,Mumbai,"Truebil is a team of young, highly motivated professionals who strive to help you buy and sell used cars in the simplest way possible.",2018,2017,Unknown,Undisclosed,technology
FarmersFZ,agriculture,Seed,0.0,Kochi,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,2018,2017,Unknown,Undisclosed,food and beverages
Worxogo,information technology,Series A,2409000.0,Bangalore,worxogo’s is a pioneering persuasive technology products align employee behaviours .,2018,2017,Unknown,Undisclosed,technology
Vivish Technologies (myGate),apps information services information technology,Series A,9490000.0,Bangalore,India's leading mobile based security management solution .,2018,2017,Unknown,Undisclosed,technology
Singularity Dynamics,artificial intelligence,Seed,0.0,Bangalore,Singularity Dynamics is a Chip-design testing startup.,2018,2017,Unknown,Undisclosed,technology
Virtual MetalStreet(MetalStreet),b2b marketplace,Pre-Seed,700000.0,Bangalore,Virtual MetalStreet(Metalstreet) is a B2B marketplace for steel trading in India,2018,2017,Unknown,Undisclosed,technology
Veritas Finance,financial services,Venture,30000000.0,Guindy,Veritas Finance has been promoted with a primary purpose of meeting the working capital and business credit requirements of the small bus.,2018,2017,Unknown,Undisclosed,fintech
Manjushree Technopack,packaging services,PE,0.0,Bangalore,Manjushree Technopack is a Rigid plastics packaging convertor in India and South Asia.,2018,2017,Unknown,Undisclosed,business services
GoZefo,computer furniture software,Venture,3066000.0,Bangalore,Startup working on a white space in the eCommerce industry.,2018,2017,Unknown,Undisclosed,technology
Zomato,food delivery hospitality reservations restaurants search engine,Other,210000000.0,Gurgaon,Zomato is a search app offering detailed information for restaurants as well as online food delivery.,2018,2017,Unknown,Undisclosed,technology
Innov8 Coworking,collaboration communities coworking real estate,Seed,4000000.0,New Delhi,Innov8 is a Y- Combinator backed company that offers coworking and shared office spaces.,2018,2017,Unknown,Undisclosed,technology
RevFin,accounting banking finance,Seed,0.0,Delhi,RevFin is a digital lending company.,2018,2017,Unknown,Undisclosed,fintech
Lavelle Networks,cloud computing enterprise software network hardware network security saas,Venture,292000.0,Bangalore,Lavelle Networks provides Software Defined WAN (SD-WAN) Solutions to build end to end Enterprise Networking Platforms for tomorrow,2018,2017,Unknown,Undisclosed,technology
Blackbuck,information services internet logistics supply chain management transportation,Series D,29632160.0,Bangalore,Blackbuck is a logistics startup based in India.,2018,2017,Unknown,Undisclosed,technology
Cardekho,automotive ecommerce information services,Series C,75000000.0,Gurgaon,Cardekho is a car search venture that helps users buy cars that are right for them.,2018,2017,Unknown,Undisclosed,technology
ElasticRun,delivery logistics transportation,Series B,8760000.0,Pune,ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers in India.,2018,2017,Unknown,Undisclosed,mobility and transportation
Droom Technology Private Limited,automotive ecommerce platforms marketplace,Series E,30000000.0,Gurgaon,Droom is a marketplace for automobiles and automobile services.,2018,2017,Unknown,Undisclosed,technology
Vogo Rentals,last mile transportation railroad transportation travel,Debt,1168000.0,Kormangala,Vogo is a dockless scooter rental company in India which lets customers rent scooters for short one way trips.,2018,2017,Unknown,Undisclosed,technology
InnerChef,cooking ecommerce food and beverage food delivery online portals,Venture,1760000.0,Gurgaon,InnerChef is an online food discovery and delivery experience that will make the foodie in you come alive.,2018,2017,Unknown,Undisclosed,e-commerce
LivQuik,fintech mobile mobile payments payments retail technology,Other,2700000.0,Mumbai,LivQuik was incorporated with the vision to simplify payments for merchants and consumers in an increasingly digital world,2018,2017,Unknown,Undisclosed,technology
Disprz,elearning education,Debt,400000.0,Chennai,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",2018,2017,Unknown,Undisclosed,technology
9stacks,online games software,Series A,4088000.0,Delhi,Online gaming startup.,2018,2017,Unknown,Undisclosed,technology
Origo,Other,Venture,11680000.0,Gurgaon,"Origo Commodities, a complete post-harvest management services for agricultural commodities, is the fastest growing company in its sector.",2018,2017,Unknown,Undisclosed,Other
YourOwnROOM,online portals property management rental,Seed,750000.0,Bangalore,"Good quality, strategically located homes closer to work for millennials",2018,2017,Unknown,Undisclosed,real estate
Vahdam Teas,ecommerce food and beverage tea,Series B,2500000.0,New Delhi,Vahdam Teas is a vertically integrated online-first tea brand that sources premium garden fresh teas direct from over 150+ tea plantations.,2018,2017,Unknown,Undisclosed,e-commerce
Spoofin,music social network video,Venture,0.0,New Delhi,A social networking app that lets you create and view Spoofs of your favourite videos.,2018,2017,Unknown,Undisclosed,technology
Strom Motors,automotive,Pre-Seed,0.0,Mumbai,Strom Motors is a smart urban mobility Company.,2018,2017,Unknown,Undisclosed,mobility and transportation
PharmEasy,health care pharmaceutical wellness,Series C,80000000.0,Mumbai,PharmEasy - Indias largest healthcare delivery platform,2018,2017,Unknown,Undisclosed,technology
Licious,delivery service food and beverage food delivery,Series C,25000000.0,Bangalore,"Licious is an online meat and fish ordering startup that solves existing problem of finding safe, delectable, trustworthy fresh meat.",2018,2017,Unknown,Undisclosed,food and beverages
Stanza Living,hospitality information technology travel accommodations,Venture,10658000.0,New Delhi,Stanza Living is a co-living platform created for students moving to a new place.,2018,2017,Unknown,Undisclosed,technology
docturnal,biotechnology diabetes health care,Seed,0.0,Hyderabad,"Docturnal, an online platform, enables individuals to find information and diagnostic services related to diabetes, cancer, and more.",2018,2017,Unknown,Undisclosed,technology
Bounce (Metro Bikes),autonomous vehicles last mile transportation recreational vehicles rental,Debt,3000000.0,Bangalore,"Bounce (formerly Metro Bikes) is an urban mobility solution that makes daily commute stress-free, time-saving, reliable, and convenient.",2018,2017,Unknown,Undisclosed,mobility and transportation
Technology 9 Labs (T9L),information technology,Other,0.0,New Delhi,Technology 9 Labs is an Information Technology and Services company.,2018,2017,Unknown,Undisclosed,technology
Goals101,financial services,Seed,3500000.0,Delhi,Goals101 is a one of the fastest growing big-data platforms.,2018,2017,Unknown,Undisclosed,fintech
Satya MicroCapital,finance financial exchanges financial services micro lending,Venture,5840000.0,New Delhi,New Delhi-based non-banking financial company.,2018,2017,Unknown,Undisclosed,fintech
Ummeed Housing Finance Private Limited,finance financial services,Series C,8760000.0,Haryana,Ummeed Housing Finance Private Limited,2018,2017,Unknown,Undisclosed,fintech
